w,q2,n_present,n_missing,completeness_pct
1.487,0.3,900,0,100.0
1.487,0.4276,900,0,100.0
1.487,0.5552,900,0,100.0
1.487,0.6828,900,0,100.0
1.487,0.8103,900,0,100.0
1.487,0.9379,900,0,100.0
1.487,1.0655,900,0,100.0
1.487,1.1931,900,0,100.0
1.487,1.3207,900,0,100.0
1.487,1.4483,900,0,100.0
1.487,1.5759,900,0,100.0
1.487,1.7034,900,0,100.0
1.487,1.831,900,0,100.0
1.487,1.9586,900,0,100.0
1.487,2.0862,900,0,100.0
1.487,2.2138,900,0,100.0
1.487,2.3414,899,1,99.89
1.487,2.469,900,0,100.0
1.487,2.5966,900,0,100.0
1.487,2.7241,900,0,100.0
1.487,2.8517,900,0,100.0
1.487,2.9793,900,0,100.0
1.487,3.1069,900,0,100.0
1.487,3.2345,900,0,100.0
1.487,3.3621,900,0,100.0
1.487,3.4897,900,0,100.0
1.487,3.6172,900,0,100.0
1.487,3.7448,900,0,100.0
1.487,3.8724,900,0,100.0
1.487,4.0,900,0,100.0
1.5047,0.3,900,0,100.0
1.5047,0.4276,900,0,100.0
1.5047,0.5552,900,0,100.0
1.5047,0.6828,900,0,100.0
1.5047,0.8103,900,0,100.0
1.5047,0.9379,900,0,100.0
1.5047,1.0655,900,0,100.0
1.5047,1.1931,900,0,100.0
1.5047,1.3207,900,0,100.0
1.5047,1.4483,900,0,100.0
1.5047,1.5759,900,0,100.0
1.5047,1.7034,900,0,100.0
1.5047,1.831,900,0,100.0
1.5047,1.9586,900,0,100.0
1.5047,2.0862,900,0,100.0
1.5047,2.2138,900,0,100.0
1.5047,2.3414,900,0,100.0
1.5047,2.469,900,0,100.0
1.5047,2.5966,900,0,100.0
1.5047,2.7241,900,0,100.0
1.5047,2.8517,900,0,100.0
1.5047,2.9793,900,0,100.0
1.5047,3.1069,900,0,100.0
1.5047,3.2345,900,0,100.0
1.5047,3.3621,900,0,100.0
1.5047,3.4897,900,0,100.0
1.5047,3.6172,900,0,100.0
1.5047,3.7448,900,0,100.0
1.5047,3.8724,900,0,100.0
1.5047,4.0,900,0,100.0
1.5223,0.3,900,0,100.0
1.5223,0.4276,760,140,84.44
1.5223,0.5552,900,0,100.0
1.5223,0.6828,900,0,100.0
1.5223,0.8103,900,0,100.0
1.5223,0.9379,900,0,100.0
1.5223,1.0655,900,0,100.0
1.5223,1.1931,900,0,100.0
1.5223,1.3207,900,0,100.0
1.5223,1.4483,900,0,100.0
1.5223,1.5759,900,0,100.0
1.5223,1.7034,900,0,100.0
1.5223,1.831,900,0,100.0
1.5223,1.9586,900,0,100.0
1.5223,2.0862,900,0,100.0
1.5223,2.2138,900,0,100.0
1.5223,2.3414,900,0,100.0
1.5223,2.469,900,0,100.0
1.5223,2.5966,890,10,98.89
1.5223,2.7241,900,0,100.0
1.5223,2.8517,900,0,100.0
1.5223,2.9793,900,0,100.0
1.5223,3.1069,900,0,100.0
1.5223,3.2345,900,0,100.0
1.5223,3.3621,900,0,100.0
1.5223,3.4897,900,0,100.0
1.5223,3.6172,900,0,100.0
1.5223,3.7448,900,0,100.0
1.5223,3.8724,900,0,100.0
1.5223,4.0,900,0,100.0
1.54,0.3,900,0,100.0
1.54,0.4276,890,10,98.89
1.54,0.5552,900,0,100.0
1.54,0.6828,900,0,100.0
1.54,0.8103,900,0,100.0
1.54,0.9379,900,0,100.0
1.54,1.0655,900,0,100.0
1.54,1.1931,900,0,100.0
1.54,1.3207,900,0,100.0
1.54,1.4483,900,0,100.0
1.54,1.5759,900,0,100.0
1.54,1.7034,900,0,100.0
1.54,1.831,900,0,100.0
1.54,1.9586,900,0,100.0
1.54,2.0862,900,0,100.0
1.54,2.2138,900,0,100.0
1.54,2.3414,900,0,100.0
1.54,2.469,900,0,100.0
1.54,2.5966,900,0,100.0
1.54,2.7241,899,1,99.89
1.54,2.8517,900,0,100.0
1.54,2.9793,900,0,100.0
1.54,3.1069,900,0,100.0
1.54,3.2345,900,0,100.0
1.54,3.3621,900,0,100.0
1.54,3.4897,840,60,93.33
1.54,3.6172,900,0,100.0
1.54,3.7448,900,0,100.0
1.54,3.8724,900,0,100.0
1.54,4.0,900,0,100.0
1.5576,0.3,900,0,100.0
1.5576,0.4276,900,0,100.0
1.5576,0.5552,870,30,96.67
1.5576,0.6828,900,0,100.0
1.5576,0.8103,900,0,100.0
1.5576,0.9379,900,0,100.0
1.5576,1.0655,900,0,100.0
1.5576,1.1931,900,0,100.0
1.5576,1.3207,900,0,100.0
1.5576,1.4483,800,100,88.89
1.5576,1.5759,900,0,100.0
1.5576,1.7034,820,80,91.11
1.5576,1.831,900,0,100.0
1.5576,1.9586,900,0,100.0
1.5576,2.0862,900,0,100.0
1.5576,2.2138,900,0,100.0
1.5576,2.3414,900,0,100.0
1.5576,2.469,900,0,100.0
1.5576,2.5966,900,0,100.0
1.5576,2.7241,900,0,100.0
1.5576,2.8517,900,0,100.0
1.5576,2.9793,900,0,100.0
1.5576,3.1069,900,0,100.0
1.5576,3.2345,900,0,100.0
1.5576,3.3621,900,0,100.0
1.5576,3.4897,900,0,100.0
1.5576,3.6172,900,0,100.0
1.5576,3.7448,900,0,100.0
1.5576,3.8724,900,0,100.0
1.5576,4.0,900,0,100.0
1.5753,0.3,900,0,100.0
1.5753,0.4276,900,0,100.0
1.5753,0.5552,900,0,100.0
1.5753,0.6828,900,0,100.0
1.5753,0.8103,900,0,100.0
1.5753,0.9379,900,0,100.0
1.5753,1.0655,900,0,100.0
1.5753,1.1931,900,0,100.0
1.5753,1.3207,900,0,100.0
1.5753,1.4483,900,0,100.0
1.5753,1.5759,900,0,100.0
1.5753,1.7034,900,0,100.0
1.5753,1.831,900,0,100.0
1.5753,1.9586,900,0,100.0
1.5753,2.0862,900,0,100.0
1.5753,2.2138,900,0,100.0
1.5753,2.3414,900,0,100.0
1.5753,2.469,900,0,100.0
1.5753,2.5966,900,0,100.0
1.5753,2.7241,900,0,100.0
1.5753,2.8517,900,0,100.0
1.5753,2.9793,900,0,100.0
1.5753,3.1069,900,0,100.0
1.5753,3.2345,900,0,100.0
1.5753,3.3621,900,0,100.0
1.5753,3.4897,900,0,100.0
1.5753,3.6172,900,0,100.0
1.5753,3.7448,900,0,100.0
1.5753,3.8724,900,0,100.0
1.5753,4.0,900,0,100.0
1.5929,0.3,900,0,100.0
1.5929,0.4276,900,0,100.0
1.5929,0.5552,900,0,100.0
1.5929,0.6828,900,0,100.0
1.5929,0.8103,900,0,100.0
1.5929,0.9379,900,0,100.0
1.5929,1.0655,900,0,100.0
1.5929,1.1931,890,10,98.89
1.5929,1.3207,900,0,100.0
1.5929,1.4483,900,0,100.0
1.5929,1.5759,900,0,100.0
1.5929,1.7034,900,0,100.0
1.5929,1.831,870,30,96.67
1.5929,1.9586,900,0,100.0
1.5929,2.0862,730,170,81.11
1.5929,2.2138,900,0,100.0
1.5929,2.3414,900,0,100.0
1.5929,2.469,900,0,100.0
1.5929,2.5966,900,0,100.0
1.5929,2.7241,900,0,100.0
1.5929,2.8517,820,80,91.11
1.5929,2.9793,660,240,73.33
1.5929,3.1069,900,0,100.0
1.5929,3.2345,900,0,100.0
1.5929,3.3621,900,0,100.0
1.5929,3.4897,900,0,100.0
1.5929,3.6172,760,140,84.44
1.5929,3.7448,900,0,100.0
1.5929,3.8724,900,0,100.0
1.5929,4.0,900,0,100.0
1.6106,0.3,850,50,94.44
1.6106,0.4276,900,0,100.0
1.6106,0.5552,900,0,100.0
1.6106,0.6828,900,0,100.0
1.6106,0.8103,900,0,100.0
1.6106,0.9379,900,0,100.0
1.6106,1.0655,900,0,100.0
1.6106,1.1931,900,0,100.0
1.6106,1.3207,900,0,100.0
1.6106,1.4483,900,0,100.0
1.6106,1.5759,900,0,100.0
1.6106,1.7034,830,70,92.22
1.6106,1.831,900,0,100.0
1.6106,1.9586,900,0,100.0
1.6106,2.0862,760,140,84.44
1.6106,2.2138,900,0,100.0
1.6106,2.3414,900,0,100.0
1.6106,2.469,900,0,100.0
1.6106,2.5966,899,1,99.89
1.6106,2.7241,900,0,100.0
1.6106,2.8517,900,0,100.0
1.6106,2.9793,900,0,100.0
1.6106,3.1069,850,50,94.44
1.6106,3.2345,900,0,100.0
1.6106,3.3621,900,0,100.0
1.6106,3.4897,900,0,100.0
1.6106,3.6172,880,20,97.78
1.6106,3.7448,900,0,100.0
1.6106,3.8724,900,0,100.0
1.6106,4.0,900,0,100.0
1.6282,0.3,900,0,100.0
1.6282,0.4276,840,60,93.33
1.6282,0.5552,900,0,100.0
1.6282,0.6828,900,0,100.0
1.6282,0.8103,900,0,100.0
1.6282,0.9379,900,0,100.0
1.6282,1.0655,900,0,100.0
1.6282,1.1931,900,0,100.0
1.6282,1.3207,900,0,100.0
1.6282,1.4483,800,100,88.89
1.6282,1.5759,900,0,100.0
1.6282,1.7034,900,0,100.0
1.6282,1.831,740,160,82.22
1.6282,1.9586,900,0,100.0
1.6282,2.0862,900,0,100.0
1.6282,2.2138,900,0,100.0
1.6282,2.3414,900,0,100.0
1.6282,2.469,900,0,100.0
1.6282,2.5966,900,0,100.0
1.6282,2.7241,900,0,100.0
1.6282,2.8517,900,0,100.0
1.6282,2.9793,830,70,92.22
1.6282,3.1069,840,60,93.33
1.6282,3.2345,900,0,100.0
1.6282,3.3621,900,0,100.0
1.6282,3.4897,900,0,100.0
1.6282,3.6172,900,0,100.0
1.6282,3.7448,900,0,100.0
1.6282,3.8724,870,30,96.67
1.6282,4.0,850,50,94.44
1.6459,0.3,900,0,100.0
1.6459,0.4276,900,0,100.0
1.6459,0.5552,870,30,96.67
1.6459,0.6828,900,0,100.0
1.6459,0.8103,900,0,100.0
1.6459,0.9379,900,0,100.0
1.6459,1.0655,840,60,93.33
1.6459,1.1931,900,0,100.0
1.6459,1.3207,900,0,100.0
1.6459,1.4483,900,0,100.0
1.6459,1.5759,900,0,100.0
1.6459,1.7034,900,0,100.0
1.6459,1.831,200,700,22.22
1.6459,1.9586,0,900,0.0
1.6459,2.0862,300,600,33.33
1.6459,2.2138,900,0,100.0
1.6459,2.3414,900,0,100.0
1.6459,2.469,900,0,100.0
1.6459,2.5966,900,0,100.0
1.6459,2.7241,900,0,100.0
1.6459,2.8517,900,0,100.0
1.6459,2.9793,900,0,100.0
1.6459,3.1069,900,0,100.0
1.6459,3.2345,900,0,100.0
1.6459,3.3621,900,0,100.0
1.6459,3.4897,900,0,100.0
1.6459,3.6172,900,0,100.0
1.6459,3.7448,900,0,100.0
1.6459,3.8724,900,0,100.0
1.6459,4.0,0,900,0.0
1.6639,0.3,0,900,0.0
1.6639,0.4276,50,850,5.56
1.6639,0.5552,0,900,0.0
1.6639,0.6828,0,900,0.0
1.6639,0.8103,0,900,0.0
1.6639,0.9379,0,900,0.0
1.6639,1.0655,0,900,0.0
1.6639,1.1931,0,900,0.0
1.6639,1.3207,0,900,0.0
1.6639,1.4483,0,900,0.0
1.6639,1.5759,0,900,0.0
1.6639,1.7034,0,900,0.0
1.6639,1.831,0,900,0.0
1.6639,1.9586,0,900,0.0
1.6639,2.0862,0,900,0.0
1.6639,2.2138,0,900,0.0
1.6639,2.3414,0,900,0.0
1.6639,2.469,0,900,0.0
1.6639,2.5966,0,900,0.0
1.6639,2.7241,0,900,0.0
1.6639,2.8517,0,900,0.0
1.6639,2.9793,0,900,0.0
1.6639,3.1069,0,900,0.0
1.6639,3.2345,0,900,0.0
1.6639,3.3621,0,900,0.0
1.6639,3.4897,0,900,0.0
1.6639,3.6172,0,900,0.0
1.6639,3.7448,0,900,0.0
1.6639,3.8724,0,900,0.0
1.6639,4.0,0,900,0.0
